SIGNAL "Character:Trigger" (#00FFFF, 0.50, 1):
194.71, 1.96, -109.24: 314.20, 8
194.30, 2.95, -109.14: 314.41, 10
193.27, 1.96, -108.85: 316.23, 5
196.35, 2.86, -109.22: 317.59, 6
197.18, 3.70, -109.20: 317.74, 7
198.01, 4.27, -109.29: 317.92, 6
198.88, 4.97, -109.72: 319.64, 6
198.89, 5.90, -109.25: 319.80, 2
196.93, 6.29, -105.16: 323.83, 5
197.59, 7.03, -104.97: 323.96, 3
200.84, 6.20, -102.82: 326.35, 6
200.12, 7.05, -103.16: 326.51, 6
193.53, 6.71, -84.37: 351.98, 3
192.75, 7.51, -83.83: 352.14, 3
185.85, 1.96, -81.12: 363.73, 4
185.31, 2.87, -81.12: 363.92, 1
182.43, 2.86, -81.03: 365.20, 4
181.85, 3.77, -81.00: 365.38, 10
180.77, 5.00, -80.24: 368.39, 8
180.98, 6.00, -79.95: 368.58, 7
182.88, 6.71, -78.44: 370.59, 7
183.32, 7.64, -78.46: 370.76, 11
184.07, 8.30, -78.51: 371.05, 7
185.42, 8.63, -78.54: 371.80, 7
185.55, 9.69, -78.55: 371.98, 20
186.11, 10.57, -78.64: 372.49, 3
186.36, 10.87, -79.92: 374.90, 4
165.84, 4.88, -100.10: 410.82, 7
166.41, 5.34, -99.27: 411.01, 7
167.00, 5.52, -98.40: 411.18, 7
167.61, 5.36, -97.50: 411.36, 5
169.43, 3.09, -97.50: 412.12, 8
170.04, 3.88, -97.65: 412.31, 8
172.45, 4.61, -98.42: 413.29, 9
172.50, 5.58, -98.12: 413.50, 7
166.33, 6.71, -82.78: 440.08, 5
166.42, 7.64, -82.17: 440.27, 1
176.94, 9.30, -83.13: 449.00, 7
177.08, 10.16, -82.52: 449.17, 10
177.26, 10.79, -81.58: 449.42, 10
176.88, 10.89, -77.31: 454.98, 2
168.91, 6.71, -78.82: 456.85, 5
168.83, 7.73, -78.83: 457.08, 2
165.72, 7.64, -79.76: 458.85, 7
162.75, 7.06, -82.17: 460.46, 9
162.94, 8.09, -82.12: 460.71, 18
163.99, 7.64, -79.88: 464.10, 2
164.41, 8.72, -79.28: 464.34, 5
164.52, 8.61, -81.32: 468.12, 4
163.67, 9.51, -81.10: 468.29, 5
162.76, 10.14, -80.87: 468.47, 7
154.51, 11.21, -82.87: 514.40, 3
153.83, 11.81, -83.28: 514.52, 2
162.48, -6.26, -56.39: 579.03, 5
162.91, -5.48, -57.34: 579.18, 2
163.00, -0.38, -68.47: 585.37, 3
162.23, 0.29, -68.54: 585.50, 1
158.51, 0.45, -70.01: 586.60, 19
156.52, 1.96, -72.74: 589.66, 3
155.75, 2.64, -73.14: 589.78, 3
145.25, 1.99, -80.38: 591.89, 4
144.31, 2.82, -80.39: 592.05, 2
134.09, -2.35, -79.51: 601.41, 3
133.36, -1.68, -79.68: 601.54, 4
132.34, -0.98, -79.95: 601.70, 2
124.10, -6.02, -81.06: 603.68, 6
123.61, -5.02, -80.89: 603.89, 5
123.43, -4.18, -82.66: 607.28, 5
123.70, -3.21, -83.43: 607.41, 6
123.97, -2.44, -84.21: 607.56, 6
124.28, -1.91, -85.14: 607.72, 5
124.97, -1.66, -87.78: 608.18, 7
124.92, -2.18, -88.73: 608.35, 2
125.42, -2.54, -90.22: 608.66, 6
126.02, -1.70, -90.98: 608.80, 3
127.35, -1.59, -93.78: 610.15, 9
126.88, -2.25, -93.03: 610.37, 1
125.07, -2.54, -91.75: 611.33, 8
125.07, -1.51, -91.98: 611.53, 9
131.47, 3.07, -100.80: 613.93, 5
131.71, 3.86, -101.56: 614.05, 6
131.98, 4.55, -102.44: 614.19, 6
132.16, 5.04, -103.33: 614.33, 4
132.96, 3.40, -108.47: 616.32, 6
132.92, 4.41, -108.51: 616.53, 1
131.88, 4.19, -109.09: 617.76, 20
131.07, 3.62, -108.65: 618.83, 4
130.36, 1.95, -107.95: 619.14, 6
128.43, 2.25, -108.36: 619.56, 8
127.16, 1.93, -109.54: 620.59, 7
127.16, 3.07, -109.54: 620.83, 12
125.75, 3.38, -109.06: 621.63, 5
125.61, 4.26, -108.27: 621.80, 3
95.68, 2.04, -89.22: 655.28, 4
95.10, 2.77, -89.60: 655.43, 1
64.84, 1.10, -104.37: 665.78, 3
63.96, 1.72, -104.35: 665.88, 3
10.60, -11.44, -117.23: 710.68, 5
9.84, -10.77, -117.38: 710.81, 3
5.50, -11.44, -118.42: 711.79, 7
4.15, -12.37, -117.18: 716.67, 27
4.68, -11.43, -117.74: 718.42, 8
4.44, -10.45, -117.65: 718.61, 3
2.58, -10.21, -117.17: 719.92, 9
1.74, -10.86, -117.44: 720.12, 7
0.99, -11.70, -117.68: 720.28, 6
-1.84, -14.90, -118.54: 721.82, 8
-6.09, -15.12, -118.64: 725.81, 5
-6.77, -14.47, -119.06: 725.93, 6
-7.57, -13.87, -119.54: 726.07, 3
-14.19, -15.12, -124.48: 727.99, 6
-14.48, -14.33, -125.29: 728.14, 3
-18.08, -15.12, -133.28: 731.37, 5
-18.38, -14.44, -133.96: 731.49, 6
-18.68, -13.88, -134.77: 731.63, 1
-17.75, -15.49, -139.19: 733.14, 75
-18.35, -14.70, -139.58: 735.34, 11
-18.24, -13.69, -139.34: 735.53, 4
-18.47, -19.08, -138.92: 736.87, 4
-18.51, -20.19, -138.88: 736.95, 4
-18.57, -21.61, -138.88: 737.04, 4
